Species,decimalLongitude,decimalLatitude
Bubalus bubalis,-53.639406,-29.477191
Bubalus bubalis,-46.703965,-23.677711
Bubalus bubalis,-56.628114,-16.264503
Bubalus bubalis,-56.845462,-16.818243
Bubalus bubalis,-48.516737,-0.631672
Bubalus bubalis,-50.854817,2.600224
Bubalus bubalis,-57.049314,-19.386934
Bubalus bubalis,-56.714233,-17.319145
Bubalus bubalis,-56.62975,-17.1021
Bubalus bubalis,-47.557453,-24.706975
Bubalus bubalis,-56.680398,-17.227958
Bubalus bubalis,-56.77411,-17.364234
Bubalus bubalis,-48.011759,-22.663575
Bubalus bubalis,-56.776092,-17.35385
Bubalus bubalis,-54.56543,-17.159314
Bubalus bubalis,-56.715584,-17.320434
Bubalus bubalis,-56.695531,-17.276164
Bubalus bubalis,-48.328051,-23.030316
Bubalus bubalis,-56.671376,-16.422477
Bubalus bubalis,-56.711559,-16.512083
Bubalus bubalis,-56.689995,-16.475788
Bubalus bubalis,-56.714919,-17.296559
Bubalus bubalis,-47.037612,-22.643269
Bubalus bubalis,-56.715232,-17.293692
Bubalus bubalis,-55.161613,-17.212914
Bubalus bubalis,-44.959783,-23.07429
Bubalus bubalis,-59.825603,-3.197442
Bubalus bubalis,-56.659397,-17.212289
Bubalus bubalis,-56.605455,-16.55653
Bubalus bubalis,-51.019707,-14.335315
Bubalus bubalis,-56.641,-17.208
Bubalus bubalis,-56.813655,-17.449917
Bubalus bubalis,-56.152959,-19.573608
Bubalus bubalis,-56.678897,-17.300425
Bubalus bubalis,-57.36012,-18.368239
Bubalus bubalis,-56.71923,-17.309555
Bubalus bubalis,-56.142302,-19.563205
Bubalus bubalis,-50.020483,-6.180151
Bubalus bubalis,-56.705725,-16.513556
Bubalus bubalis,-56.844573,-16.626027
Bubalus bubalis,-45.812843,-20.46137
Bubalus bubalis,-56.097355,-19.587941
